2001-06-12	3.609
2001-06-13	3.255
2001-06-14	3.106
2001-06-15	3.122
2001-06-16	2.999
2001-06-17	2.968
2001-06-18	3.119
2001-06-19	3.399
2001-06-20	4.233
2001-06-21	7.807
2001-06-22	11.492
2001-06-23	10.962
2001-06-24	10.009
2001-06-25	9.239
2001-06-26	8.336
2001-06-27	7.716
2001-06-28	7.709
2001-06-29	8.127
2001-06-30	7.953
2001-07-01	7.894
2001-07-02	7.772
2001-07-03	7.001
2001-07-04	6.801
2001-07-05	8.574
2001-07-06	9.567
2001-07-07	7.883
2001-07-08	6.953
2001-07-09	7.229
2001-07-10	9.202
2001-07-11	10.681
2001-07-12	9.82
2001-07-13	8.094
2001-07-14	6.887
2001-07-15	6.11
2001-07-16	5.897
2001-07-17	6.248
2001-07-18	6.958
2001-07-19	6.456
2001-07-20	5.908
2001-07-21	5.487
2001-07-22	5.135
2001-07-23	5.463
2001-07-24	5.434
2001-07-25	4.978
2001-07-26	4.466
2001-07-27	4.004
2001-07-28	3.671
2001-07-29	3.427
2001-07-30	3.376
2001-07-31	3.235
2001-08-01	3.007
2001-08-02	2.809
2001-08-03	2.648
2001-08-04	3.083
2001-08-05	4.845
2001-08-06	7.029
2001-08-07	6.762
2001-08-08	5.608
2001-08-09	4.938
2001-08-10	4.751
2001-08-11	5.694
2001-08-12	4.708
2001-08-13	4.237
2001-08-14	3.882
2001-08-15	3.605
2001-08-16	3.436
2001-08-17	3.604
2001-08-18	3.624
2001-08-19	3.353
2001-08-20	3.113
2001-08-21	3.141
2001-08-22	3.11
2001-08-23	2.963
2001-08-24	2.815
2001-08-25	2.704
2001-08-26	2.874
2001-08-27	3.218
2001-08-28	3.247
2001-08-29	2.986
2001-08-30	2.773
2001-08-31	2.623
2001-09-01	2.584
2001-09-02	2.759
2001-09-03	2.787
2001-09-04	2.749
2001-09-05	2.658
2001-09-06	2.536
2001-09-07	2.422
2001-09-08	2.324
2001-09-09	2.297
2001-09-10	2.833
2001-09-11	3.612
2001-09-12	3.762
2001-09-13	3.564
2001-09-14	3.342
2001-09-15	3.207
2001-09-16	3.277
2001-09-17	3.453
2001-09-18	3.377
2001-09-19	3.21
2001-09-20	3.124
2001-09-21	3.157
2001-09-22	3.093
2001-09-23	2.945
2001-09-24	2.791
2001-09-25	2.667
2001-09-26	2.568
2001-09-27	2.476
2001-09-28	2.388
2001-09-29	2.28
2001-09-30	2.193
2001-10-01	2.262
2001-10-02	2.619
2001-10-03	2.623
2001-10-04	2.512
2001-10-05	2.388
2001-10-06	2.281
2001-10-07	2.582
2001-10-08	4.288
2001-10-09	4.997
2001-10-10	4.888
2001-10-11	4.671
2001-10-12	4.287
2001-10-13	3.956
2001-10-14	3.608
2001-10-15	3.328
2001-10-16	3.188
2001-10-17	3.192
2001-10-18	3.116
2001-10-19	2.956
2001-10-20	2.789
2001-10-21	2.652
2001-10-22	2.533
2001-10-23	2.418
2001-10-24	2.296
2001-10-25	2.241
2001-10-26	2.202
2001-10-27	2.303
2001-10-28	2.375
2001-10-29	2.281
2001-10-30	2.232
2001-10-31	2.168
2001-11-01	2.054
2001-11-02	1.993
2001-11-03	2.101
2001-11-04	2.122
2001-11-05	1.98
2001-11-06	1.753
2001-11-07	1.626
2001-11-08	1.608
2001-11-09	1.504
2001-11-10	1.53
2001-11-11	1.627
